CARD NAME||MEANING1||MEANING2||WARNINGMESSAGE||PICTUREPATH
THE DASH|The instantaneous power of victory in your hand. An internal fight with yourself.|The goal is just ahead. Spiritual strenght is tried as a result of the internal fight with yourself. Keep running as fast as you can, even if it is a little painful. Afterwards, happiness awaits.|You'll go back to the starting point if you give up now. Precious natural luck fades away when suffering heavy losses.|
THE ERASE|Stagnation of luck. A warning to wait.|Are there any expenses that were planned out or did you just spend recklessly on desires? Even if a plain fails, continue making steady efforts and wait for the next chance.|The successful persona appreaches you in time of need. Humans are resilient and equipped with profoundness.|
THE FIGHT|A sign of transformation.|You will be thanked for taking the lead and for going through a lot of trouble for people. Physical strenghth and willpower are enhanced, and a current misfortune can be fixed.|Don't build up on momentum, or you will make a stupid error in judgement. An elaborate preliminary investigation is necessary. Listening to the advice of an elder will bring luck.|
THE FLOAT|Liberation from restraint. Freedom.|If you make a steady effort, you will be freed from all pressures. When you don't make a steady effort, it is a sign of pending troubles. Be careful to pay attention to personal relationships, including romantic ones.|Whne it comes to decisions concerning financial problems and work, you should follow an elder's advice instead of making an arbitrary decision.|
THE FLY|A challenge to leap. A chance.|Development of human relations. Your luck will be strengthened as well, and all progresses smoothly. Taking the challenge of qualification examinations for auditions is recommended too. Keep a carefree action in mind, brightly, without withering.|Confidence and economic fortune can be remarkably increased by accomplishing work and favors when a friend asks for them.|
THE FREEZE|Estabilishment of basic power. It's ok to go at your own pace.|There are seasons in life, as there are in nature. A time of growth would be like spring, and winter would be a time for gathering strength. Right now seems to be your charging period of winter. Do not spread yourself out too thin, just settle down slowly and work on things.|You must backpedal a bit in order to begin something new. In order to develop basic power, the first priority is to continuously reserach and train.|
THE JUMP|Loss of ability. THe best condition.|Power can be demonstrated through your heart. Human charm is like a power-up. You will become busy both publickly and privately, but still be able to make enough time for adequate sleep.|Tasks at work that are above your current ability may be ordered, leading to confusion, but you can ride it out using wisdom and experience.|
THE MOVE|Be careufl about impatient actions and remarks.|Your natural luck is a bit off, timing-wise. The cause seems to be an impromptu remark and/or a whimsical action. Don't become a person who does nothing but overexaggerate.|Keep your promises. Communicate to the best of your ability. It's easy to become influenced by feelings, so think before you speak.|
THE RETURN|A second chance. Never give up!|You will settle your regrets and the problem that you ran away from. The person who has been labeled as shy will slowly recover. Your natural luck improves with a good decision.|Though you cannot turn back time, you can still change the present and the future with your own power.|
THE SHOT|Focus on the goal.|If you become greedy, you will fail. Ascertain why the goal is necessary. It is easy to become aggressive, but scolding yourself when you do will bring progress.|You might hurt the other party, even though you didn't mean any harm. If you notice this occurring, humbly apologize.|
THE SLEEP|Rest. A calm state of mind.|You are ordinary and stable, without a lot of trouble or fights. Spend every day in an honest, sincere attitude. If you get stuck in a couple of ruts, take a carefree hike --it will bring good luck.|Glib talk will lead to a pitfall. Be careful when it comes to crossing bridges-it may be dangerous.|
THE THROUGH|The improvement of an unexpected situation.|The key to success is a change in perspective. When you change your way of life and thinking compeltely, it is very likely that your situation will improve for the better and good luck will come your way. It is important to say "yes" and "no" clearly.|Even if a strong rival appears, face each other fairly and without tricks. They might turn out to be an unexpected cooperator.|
THE ARROW|A surge of energy. Aggressiveness.|Energy that can charge towards the goal. Achieving your goals and desires int he shortest amount of time is done by moving and acting more positively than usual.|It is important to set goals. Unnecessary trouble can be created when you are too greedy, so take care.|
THE BUBBLES|Purification of emotions. Breaking away from a vicious cycle.|Worries and problems can be beautifully cleaned. A solution will show itself if you can work with an obedient feeling without showing off.|A person who will suppoert you appears, but it is bad to rely on only one person.|
THE EARHTY|Source of life. Symbol of effort and acceptability.|Now is the time to focus on the foundation. The basics are important, but do not forget to make an effort. There is no immediate effect, but the results will eventually bring about a big chance to become productive.|Sometimes, a big heart can receive all. If you become egocentric, you won't be able to grow.|
THE FLOWER|Results. Rewards. Chances of accomplishing a goal are high.|There's a chance that your current efforts will finally bloom and let you reach your goal. If you have self-confidence and positive feelings, all will open out towards the right direction.|Even if a small obstacle shows up, forget about it and don't get angry. progress can be made with a smile.|
THE LIBRA|Life, action, and adjusting the balance of ideas.|Using calm, fair judgement it is possible to choose humble decisions. The problem that has caused a loss in balance will be restored to a better state.|That better state cannot be restored if you compare lies to the past. If you reflect calmly, you can gradually restore your balance.|
THE LOCK|Intelligence. Inner awareness of the truth.|The door to truth can be opened and shut. Learning your own heart can help you learn the secret of another. However, it would be better to leave it alone for now.|A pleasant chat can result in lost trust, if you talk too much. Be careful, because it is difficult to regain trust.|
THE LOOP|Connection. Chance to step-up.|If there are sympathizing, gentle feelings, lots of people and things begin to connect. Linked by a deep friendship, greater aid will likely be acquirable.|You will go round and round in circles if you can't develop any self-satisfaction. Bright, open feelings are important.|
THE MIRROR|A time in which you stare deeply at yourself.|Through the behavior of others, your merits and weak points can be found. Sometimes, flaws of an upset person will cause you to reflect upon yourself.|Once again, become modest and reflect on your actions. Renew yourself at once if you remember something you regret.|
THE SAND|The challenge to change fearlessly.|Time and a person's feelings change constantly, yet they always exist in some form, so there is no single point of view. Reconciliation with your friend or your lover is sure to go well too, if it is taken one step at a time.|Do you notice the person who thinks you are important? They are actually surprisingly closer than you realize.|
THE SHADOW|The unknown. The reason and solution of the problem.|The problem is haunting you like a shadow, and is going to give you a message. Since the path that should be followed faces away from the front of the problem, turning around will allow it to come into view.|When you always avoid poor and unpleasant things, you'll miss the turning point in the other side of the shadow.|
THE SHIELD|Protection. A defensive measure to mantain harmony.|Even if a crisis is approaching, you have many people firmly defending you. You can obtain greater power in exchange for love and harmony.|Don't forget the feeling of gratitude. When friends are in trouble do not hesitate to reach out to them.|
THE SWORD|Quest for truth. Compensation. A destructive power.|Symbol of truth and power. A time where you can make as much progress as you desire. If you tell the truth, great rewards will be obtained. The highest harvest will be obtained if you have sown the truth.|Hurting someone and other wicked schemes can never utilize power.|
THE WOOD|Symbolizing individual growth and development.|Steady growth and development. Obtain trust in interpersonal relationships and connect with deep bonds. Talent and ability shine in future months and there is a lot of admiration to receive.|Don't forget your original intentions, evne if it is favorable. If you get too caught up in the moment, the things which you built up with much effort will become spoiled.|
